pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Category
45.719063,16.869987,9.383421,0.0,196.72038,1787.4839,38.78496,9648.567,216.86368,0.0,668.3005,3142.281,48.262512,742.529,795.8945,112.50002,707.2447,135.74548,196.43369,296.65643,51.937153,96.07277,51.937077,0.02766538,0.051885877,0.027665233,62.16116,18179.201,372.96744,10.353109,0.14699891,-0.0022857764,1.2137463,-0.14844249,5.2137737,1.8529997,6.780406,-0.002859251,6.447648e-05,0.025009597,-0.0029020559,0.11170104,0.046211448,0.14917308,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,123.1407,85.83559,-0.0011437874,8.0,Ransomware-Ako-00bc03f1c2f2f457cf5d37b2b06856ea61ce126d9578c7b89a3548d35e787d6e-4.raw
36.719063,14.869987,10.295289,0.0,221.84953,1462.4839,38.79612,8249.567,224.02104,0.0,417.3005,2852.281,39.737488,665.529,678.8945,92.50002,589.2447,113.74548,168.56631,233.65643,42.937153,79.07277,42.937077,0.028357299,0.05398252,0.028357154,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,0.21374631,-0.14844249,4.2137737,1.8529997,5.780406,-0.002859251,6.447648e-05,0.003270465,-0.0029020559,0.111113496,0.056787238,0.15916133,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,119.1407,86.83559,-0.0011437874,8.0,Spyware-Transponder-00d7b4af14ce7b7f09d949194c2fd335f86d19c71b5e1d77c7f2046c98e8394f-9.raw
42.719063,16.869987,9.753491,0.0,208.90045,1671.4839,38.20341,8984.567,215.90971,0.0,437.3005,3020.281,44.737488,740.529,754.89453,106.50002,644.7553,129.74548,188.43369,274.65643,45.937153,87.07277,45.937077,0.0260681,0.051162243,0.026067954,2.1611621,-323.79907,12.96743,0.8531084,1.8530011,-0.0022857764,3.2137463,1.8515575,7.2137737,3.853,8.780406,0.041585192,6.447648e-05,0.06993713,0.04154239,0.15856095,0.09162207,0.19699918,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,123.1407,85.83559,-0.0011437874,8.0,Ransomware-Conti-0a171a622ddb008d0cc264f3ba7d1250a72bfc6f6ba5a27592346d67ef8b153f-4.raw
40.719063,15.869987,9.688829,0.0,209.12904,1558.4839,37.894714,8588.567,211.30054,0.0,448.3005,2944.281,43.737488,692.52893,708.8945,103.50002,603.2447,116.74548,183.56631,258.65643,46.937153,87.07277,46.937077,0.02905681,0.054678988,0.029056665,2.1611621,329.799,12.96743,0.8531084,-0.14699897,-0.0022857764,0.21374631,-0.14844249,4.2137737,1.8529997,5.780406,-0.002859251,6.447648e-05,0.003270465,-0.0029020559,0.100566365,0.051513676,0.14334063,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,119.1407,86.83559,-0.0011437874,8.0,Trojan-Emotet-1d72e4d7b37b7bf374ea10f3e3b0e9164c32142aeae3d302e379f9987eccad27-9.raw
41.280937,15.869987,9.78639,0.0,214.34856,1621.4839,39.4313,8802.567,216.52005,0.0,850.6995,3022.281,43.737488,659.529,728.8945,103.50002,637.2447,126.74548,187.5663,270.65643,45.937153,86.07277,45.937077,0.02687312,0.05209356,0.026872974,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,0.21374631,0.14844252,4.2137737,2.1470003,5.780406,-0.002859251,6.447648e-05,0.003270465,-0.0029020559,0.100566365,0.051513676,0.14334063,137.99042,389.2228,220.90227,25.991432,24.076244,116.07608,0.0,121.1407,86.83559,-0.0011437874,8.0,Trojan-Zeus-2dd291b2dad08b362ef6f6182766c8c4d26a5c333af86bf8b77def787f26024f-4.raw
39.280937,14.869987,10.079073,0.0,217.35542,1537.4839,39.284958,8504.567,219.52693,0.0,844.69946,2934.281,41.737488,649.52893,709.8945,100.50002,595.2447,119.74548,182.56631,260.65643,44.937153,83.07277,44.937077,0.02790123,0.052350476,0.027901085,2.1611621,-323.79907,12.96743,0.8531084,1.8530011,-0.0022857764,2.2137463,1.8515575,6.2137737,3.853,7.780406,0.045921236,6.447648e-05,0.052050956,0.045878433,0.14934686,0.10029416,0.19212113,137.99042,389.2228,220.90227,25.991432,24.076244,116.07608,0.0,120.1407,86.83559,-0.0011437874,8.0,Ransomware-Pysa-7bcbf8f6884549f0eaf03100f105cf419549b8e97f3e264722dac6f4566fcc5c-6.raw
43.719063,15.869987,10.465437,0.0,208.82803,1663.4839,37.716778,9182.567,210.99953,0.0,451.3005,3134.281,45.737488,680.529,860.8945,108.50002,651.2447,123.74548,189.56631,264.65643,48.937153,92.07277,48.937077,0.027886016,0.054203585,0.027885871,2.1611621,-323.79907,12.96743,0.8531084,0.8530011,-0.0022857764,1.2137463,0.8515575,5.2137737,2.853,7.780406,0.019362971,6.447648e-05,0.025492689,0.019320166,0.114116505,0.06939985,0.17477696,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,122.1407,85.83559,-0.0011437874,8.0,Ransomware-Shade-796eb9e53d5f6019e289f0883d8b2b136ac5c9eaccca03ee0e9f30ba813d5ae2-1.raw
36.719063,14.869987,10.295289,0.0,222.09279,1461.4839,38.769093,8258.567,224.26428,0.0,838.69946,2853.281,39.737488,659.529,679.8945,92.50002,600.7553,113.74548,153.43369,233.65643,43.937153,80.07277,43.937077,0.02900277,0.053625014,0.029002625,2.1611621,-323.79907,12.96743,0.8531084,6.853001,-0.0022857764,7.213746,7.1484427,11.213774,8.853,12.780406,0.15623166,6.447648e-05,0.16236137,0.15618885,0.2530054,0.20727864,0.29245374,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,119.1407,86.83559,-0.0011437874,8.0,Trojan-Refroso-bbc66786dc7f310801fb2c9aced13d08-8.raw
39.280937,16.869987,9.899586,0.0,216.35542,1542.4839,38.843246,8465.567,218.52693,0.0,859.6995,2813.719,41.737488,687.471,691.8945,97.50002,612.7553,119.74548,168.56631,241.65643,46.937153,85.07277,46.937077,0.02930492,0.054818343,0.029304774,10.161162,385.799,60.96743,2.0531085,0.14699891,-0.0022857764,0.21374631,0.14844252,4.2137737,2.1470003,5.780406,-0.002859251,6.447648e-05,0.003270465,-0.0029020559,0.1055695,0.054015238,0.15084533,137.99042,389.2228,220.90227,25.991432,24.076244,116.07608,0.0,119.1407,85.83559,-0.0011437874,8.0,Trojan-Refroso-e1e4afff733f7137d65cef4eb538722a-8.raw
43.719063,16.869987,9.806346,0.0,208.19168,1689.4839,38.307686,9154.567,210.36317,0.0,454.3005,3108.281,46.737488,709.529,784.8945,109.50002,657.2447,129.74548,195.5663,275.65643,46.937153,90.07277,46.937077,0.02634163,0.052319173,0.026341485,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,0.21374631,-0.14844249,4.2137737,1.8529997,5.780406,-0.002859251,6.447648e-05,0.003270465,-0.0029020559,0.09391448,0.048187733,0.13336281,137.99042,389.2228,220.90227,26.008568,24.076244,116.07608,0.0,122.1407,86.83559,-0.0011437874,8.0,Ransomware-Ako-0bba514ec7f615e144777eb601e36eb57b5910e2d5b60ae8dc67135e996c6a76-3.raw
