pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Category,Class
43.15719,16.60996,10.805402,0.0,225.62048,1724.0,39.18182,9041.0,205.47728,0.0,665.0,3117.0,47.0,733.0,864.0,109.0,682.0,123.0,185.0,269.0,47.0,90.0,47.0,0.026553672,0.05084746,0.026553672,0.48348644,-977.3971,2.902292,0.5593254,1.5590034,-0.006857329,2.6412392,1.5546726,6.6413207,4.4410005,7.3412185,0.03490051,0.00019342946,0.053289663,0.03477209,0.13945095,0.09515607,0.16491057,138.0,389.0,220.7068,25.974297,24.0,116.0,0.0,123.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-1.raw,Malware
39.15719,15.609961,10.462219,0.0,230.86821,1560.0,39.0,8430.0,216.15384,0.0,639.0,2916.0,42.0,752.0,735.0,97.0,635.0,119.0,180.0,239.0,43.0,81.0,43.0,0.027371101,0.051559515,0.027371101,0.48348644,-977.3971,2.902292,0.5593254,-0.4409965,-0.006857329,1.641239,-0.44532752,5.6413207,1.5589995,6.3412185,-0.008577751,0.00019342946,0.034811404,-0.008706166,0.13401617,0.05819955,0.16599752,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,121.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-10.raw,Malware
41.15719,15.609961,10.618172,0.0,228.8337,1647.0,39.214287,8766.0,213.80487,0.0,650.0,3036.0,44.0,703.0,809.0,104.0,658.0,123.0,187.0,267.0,46.0,86.0,46.0,0.027202839,0.05085748,0.027202839,0.48348644,-977.3971,2.902292,0.5593254,0.55900335,-0.006857329,2.6412392,0.5546725,6.6413207,2.5589995,7.3412185,0.014678063,0.00019342946,0.056323033,0.014549646,0.14855106,0.077966996,0.17704403,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,123.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-2.raw,Malware
43.15719,16.60996,10.23722,0.0,225.43866,1718.0,39.045456,9034.0,210.09302,0.0,654.0,3101.0,46.0,754.0,808.0,108.0,683.0,132.0,199.0,276.0,46.0,88.0,46.0,0.026106697,0.049943246,0.026106697,0.48348644,-977.3971,2.902292,0.5593254,0.55900335,-0.006857329,2.6412392,0.5546725,6.6413207,2.5589995,7.3412185,0.01364447,0.00019342946,0.054255847,0.013516053,0.14234951,0.07486622,0.1687753,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,124.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-3.raw,Malware
43.15719,16.60996,9.919038,0.0,223.3023,1709.0,38.840908,8940.0,207.90698,0.0,654.0,3070.0,46.0,754.0,771.0,108.0,680.0,132.0,199.0,276.0,45.0,87.0,45.0,0.025714286,0.049714286,0.025714286,0.48348644,-977.3971,2.902292,0.5593254,-0.4409965,-0.006857329,1.641239,-0.44532752,5.6413207,1.5589995,6.3412185,-0.008577751,0.00019342946,0.032538675,-0.008706166,0.12265254,0.053654097,0.15008844,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,124.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-4.raw,Malware
42.15719,16.60996,9.865127,0.0,223.37576,1660.0,38.604652,8740.0,208.09525,0.0,652.0,3002.0,45.0,751.0,744.0,106.0,646.0,129.0,196.0,271.0,45.0,86.0,45.0,0.026533019,0.05070755,0.026533019,0.48348644,-977.3971,2.902292,0.5593254,0.55900335,-0.006857329,2.6412392,0.5546725,6.6413207,2.5589995,7.3412185,0.014149521,0.00019342946,0.05526595,0.014021103,0.14537981,0.07638137,0.17281571,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,124.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-5.raw,Malware
41.15719,15.609961,9.951506,0.0,224.8575,1625.0,38.690475,8599.0,209.7317,0.0,648.0,2966.0,44.0,744.0,733.0,105.0,638.0,125.0,194.0,266.0,44.0,84.0,44.0,0.026586102,0.05075529,0.026586102,0.48348644,-977.3971,2.902292,0.5593254,1.5590034,-0.006857329,3.6412392,1.5546726,7.6413207,3.5589995,8.341219,0.036876794,0.00019342946,0.07799322,0.036748376,0.16810708,0.099108644,0.19554298,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,123.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-6.raw,Malware
40.15719,15.609961,9.968927,0.0,227.8993,1595.0,38.90244,8519.0,212.975,0.0,646.0,2927.0,43.0,763.0,716.0,103.0,638.0,122.0,194.0,261.0,44.0,83.0,44.0,0.027194068,0.0512979,0.027194068,0.48348644,-977.3971,2.902292,0.5593254,1.5590034,-0.006857329,3.6412392,1.5546726,7.6413207,3.5589995,8.341219,0.037933875,0.00019342946,0.07957885,0.03780546,0.17180687,0.101222806,0.20029986,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,121.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-7.raw,Malware
39.15719,15.609961,10.137219,0.0,230.16821,1557.0,38.925,8402.0,215.4359,0.0,639.0,2906.0,42.0,752.0,710.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,0.48348644,-977.3971,2.902292,0.5593254,0.55900335,-0.006857329,2.6412392,0.5546725,6.6413207,2.5589995,7.3412185,0.015812492,0.00019342946,0.05859189,0.015684076,0.15535764,0.08137028,0.18611948,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,121.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-8.raw,Malware
39.15719,15.609961,10.512219,0.0,231.24321,1560.0,39.0,8445.0,216.53847,0.0,642.0,2920.0,42.0,752.0,738.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,0.48348644,-977.3971,2.902292,0.5593254,-0.4409965,-0.006857329,1.641239,-0.44532752,5.6413207,1.5589995,6.3412185,-0.008577751,0.00019342946,0.034811404,-0.008706166,0.13401617,0.05819955,0.16599752,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,121.0,85.50676,-0.0034313619,8.0,Ransomware-Conti-00e739eaebc68c8760f43194b409c9dbdf0c2011cc61778d5ed73323e93a8498-9.raw,Malware
38.15719,14.609961,11.596194,0.0,241.42526,1566.0,40.153847,8630.0,221.28206,0.0,643.0,3010.0,42.0,660.0,831.0,99.0,640.0,120.0,178.0,260.0,47.0,85.0,47.0,0.029156327,0.05272953,0.029156327,0.48348644,-977.3971,2.902292,0.5593254,4.5590034,-0.006857329,5.641239,4.5546727,9.64132,6.559,10.341219,0.10505861,0.00019342946,0.12344777,0.10493019,0.21356164,0.16729046,0.24099752,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,122.0,86.50676,-0.0034313619,8.0,Ransomware-Conti-01ad1e424c18c8881cc26e1506da10d3e7a9a9c17833e230be71e3c21bd6da6e-1.raw,Malware
36.15719,14.609961,10.318301,0.0,235.57564,1449.0,39.162163,7971.0,215.43243,0.0,629.0,2818.0,40.0,673.0,661.0,92.0,596.0,113.0,162.0,231.0,44.0,80.0,44.0,0.03009576,0.054719564,0.03009576,0.48348644,-977.3971,2.902292,0.5593254,-0.4409965,-0.006857329,0.64123905,-0.44532752,4.6413207,1.5589995,5.3412185,-0.008577751,0.00019342946,0.009811404,-0.008706166,0.11712428,0.062253606,0.1531597,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,119.0,86.50676,-0.0034313619,8.0,Ransomware-Conti-01ad1e424c18c8881cc26e1506da10d3e7a9a9c17833e230be71e3c21bd6da6e-10.raw,Malware
38.15719,14.609961,10.929527,0.0,238.27141,1555.0,39.871796,8507.0,218.1282,0.0,643.0,2973.0,42.0,660.0,778.0,99.0,634.0,120.0,178.0,260.0,47.0,85.0,47.0,0.029356653,0.053091817,0.029356653,0.48348644,-977.3971,2.902292,0.5593254,2.5590034,-0.006857329,3.6412392,2.5546725,7.6413207,4.5589995,8.341219,0.06285082,0.00019342946,0.081239976,0.0627224,0.17568284,0.12724717,0.20528324,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,122.0,86.50676,-0.0034313619,8.0,Ransomware-Conti-01ad1e424c18c8881cc26e1506da10d3e7a9a9c17833e230be71e3c21bd6da6e-2.raw,Malware
41.84281,15.609961,10.432342,0.0,231.82614,1619.0,39.487804,8679.0,211.68292,0.0,647.0,3030.0,44.0,675.0,772.0,103.0,645.0,126.0,182.0,268.0,47.0,87.0,47.0,0.028228229,0.05225225,0.028228229,0.48348644,-977.3971,2.902292,0.5593254,2.5590034,-0.006857329,3.6412392,2.5546725,7.6413207,4.5589995,8.341219,0.059604067,0.00019342946,0.07799322,0.05947565,0.16810708,0.12183592,0.19554298,138.0,389.0,220.7068,26.025703,24.0,116.0,0.0,122.0,86.50676,-0.0034313619,8.0,Ransomware-Conti-01ad1e424c18c8881cc26e1506da10d3e7a9a9c17833e230be71e3c21bd6da6e-3.raw,Malware
