pslist.nproc_original,pslist.nppid_original,pslist.avg_threads_original,pslist.nprocs64bit_original,pslist.avg_handlers_original,dlllist.ndlls_original,dlllist.avg_dlls_per_proc_original,handles.nhandles_original,handles.avg_handles_per_proc_original,handles.nport_original,handles.nfile_original,handles.nevent_original,handles.ndesktop_original,handles.nkey_original,handles.nthread_original,handles.ndirectory_original,handles.nsemaphore_original,handles.ntimer_original,handles.nsection_original,handles.nmutant_original,ldrmodules.not_in_load_original,ldrmodules.not_in_init_original,ldrmodules.not_in_mem_original,ldrmodules.not_in_load_avg_original,ldrmodules.not_in_init_avg_original,ldrmodules.not_in_mem_avg_original,malfind.ninjections_original,malfind.commitCharge_original,malfind.protection_original,malfind.uniqueInjections_original,psxview.not_in_pslist_original,psxview.not_in_eprocess_pool_original,psxview.not_in_ethread_pool_original,psxview.not_in_pspcid_list_original,psxview.not_in_csrss_handles_original,psxview.not_in_session_original,psxview.not_in_deskthrd_original,psxview.not_in_pslist_false_avg_original,psxview.not_in_eprocess_pool_false_avg_original,psxview.not_in_ethread_pool_false_avg_original,psxview.not_in_pspcid_list_false_avg_original,psxview.not_in_csrss_handles_false_avg_original,psxview.not_in_session_false_avg_original,psxview.not_in_deskthrd_false_avg_original,modules.nmodules_original,svcscan.nservices_original,svcscan.kernel_drivers_original,svcscan.fs_drivers_original,svcscan.process_services_original,svcscan.shared_process_services_original,svcscan.interactive_process_services_original,svcscan.nactive_original,callbacks.ncallbacks_original,callbacks.nanonymous_original,callbacks.ngeneric_original,pslist.nproc_adversarial,pslist.nppid_adversarial,pslist.avg_threads_adversarial,pslist.nprocs64bit_adversarial,pslist.avg_handlers_adversarial,dlllist.ndlls_adversarial,dlllist.avg_dlls_per_proc_adversarial,handles.nhandles_adversarial,handles.avg_handles_per_proc_adversarial,handles.nport_adversarial,handles.nfile_adversarial,handles.nevent_adversarial,handles.ndesktop_adversarial,handles.nkey_adversarial,handles.nthread_adversarial,handles.ndirectory_adversarial,handles.nsemaphore_adversarial,handles.ntimer_adversarial,handles.nsection_adversarial,handles.nmutant_adversarial,ldrmodules.not_in_load_adversarial,ldrmodules.not_in_init_adversarial,ldrmodules.not_in_mem_adversarial,ldrmodules.not_in_load_avg_adversarial,ldrmodules.not_in_init_avg_adversarial,ldrmodules.not_in_mem_avg_adversarial,malfind.ninjections_adversarial,malfind.commitCharge_adversarial,malfind.protection_adversarial,malfind.uniqueInjections_adversarial,psxview.not_in_pslist_adversarial,psxview.not_in_eprocess_pool_adversarial,psxview.not_in_ethread_pool_adversarial,psxview.not_in_pspcid_list_adversarial,psxview.not_in_csrss_handles_adversarial,psxview.not_in_session_adversarial,psxview.not_in_deskthrd_adversarial,psxview.not_in_pslist_false_avg_adversarial,psxview.not_in_eprocess_pool_false_avg_adversarial,psxview.not_in_ethread_pool_false_avg_adversarial,psxview.not_in_pspcid_list_false_avg_adversarial,psxview.not_in_csrss_handles_false_avg_adversarial,psxview.not_in_session_false_avg_adversarial,psxview.not_in_deskthrd_false_avg_adversarial,modules.nmodules_adversarial,svcscan.nservices_adversarial,svcscan.kernel_drivers_adversarial,svcscan.fs_drivers_adversarial,svcscan.process_services_adversarial,svcscan.shared_process_services_adversarial,svcscan.interactive_process_services_adversarial,svcscan.nactive_adversarial,callbacks.ncallbacks_adversarial,callbacks.nanonymous_adversarial,callbacks.ngeneric_adversarial
44,17,10.56818182,0,205.4772727,1724,39.18181818,9041,205.4772727,0,665,3117,47,733,864,109,682,123,185,269,47,90,47,0.026553672,0.050847458,0.026553672,3,3,18,1.0,2,0,2,2,6,4,8,0.043478261,0.0,0.043478261,0.043478261,0.130434783,0.086956522,0.173913043,138,389,221,26,24,116,0,123,86,0,8,43.719063,16.869987,10.647255,0.0,212.19168,1724.0,39.18182,9041.0,205.47728,0.0,665.0,3117.0,47.0,733.0,864.0,109.0,682.0,123.0,185.0,269.0,47.0,90.0,47.0,0.026553672,0.05084746,0.026553672,2.1611621,-323.79907,12.96743,0.8531084,1.8530011,-0.0022857764,2.2137463,1.8515575,6.2137737,4.1470003,7.780406,0.040619012,6.447648e-05,0.046748728,0.040576205,0.13344018,0.08968971,0.17091222,138.0,389.0,220.90227,25.991432,24.0,116.0,0.0,123.0,85.83559,-0.0011437874,8.0
40,16,10.225,0,210.725,1560,39.0,8430,216.1538462,0,639,2916,42,752,735,97,635,119,180,239,43,81,43,0.027371101,0.051559516,0.027371101,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,121,86,0,8,39.719063,15.869987,10.304073,0.0,217.4394,1560.0,39.0,8430.0,216.15384,0.0,639.0,2916.0,42.0,752.0,735.0,97.0,635.0,119.0,180.0,239.0,43.0,81.0,43.0,0.027371101,0.051559515,0.027371101,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,1.2137463,-0.14844249,5.2137737,1.8529997,6.780406,-0.002859251,6.447648e-05,0.028270466,-0.0029020559,0.12800539,0.052733187,0.17199917,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,121.0,85.83559,-0.0011437874,8.0
42,16,10.38095238,0,208.6904762,1647,39.21428571,8766,213.804878,0,650,3036,44,703,809,104,658,123,187,267,46,86,46,0.027202839,0.050857481,0.027202839,3,3,18,1.0,1,0,2,1,6,3,8,0.023255814,0.0,0.046511628,0.023255814,0.139534884,0.069767442,0.186046512,138,389,221,26,24,116,0,123,86,0,8,41.719063,15.869987,10.460026,0.0,215.40488,1647.0,39.214287,8766.0,213.80487,0.0,650.0,3036.0,44.0,703.0,809.0,104.0,658.0,123.0,187.0,267.0,46.0,86.0,46.0,0.027202839,0.05085748,0.027202839,2.1611621,-323.79907,12.96743,0.8531084,0.8530011,-0.0022857764,2.2137463,0.8515575,6.2137737,2.853,7.780406,0.020396564,6.447648e-05,0.049782097,0.020353759,0.14254028,0.072500624,0.18304569,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,123.0,85.83559,-0.0011437874,8.0
44,17,10.0,0,205.2954545,1718,39.04545455,9034,210.0930233,0,654,3101,46,754,808,108,683,132,199,276,46,88,46,0.026106697,0.049943246,0.026106697,3,3,18,1.0,1,0,2,1,6,3,8,0.022222222,0.0,0.044444444,0.022222222,0.133333333,0.066666667,0.177777778,138,389,221,26,24,116,0,124,86,0,8,43.719063,16.869987,10.079073,0.0,212.00986,1718.0,39.045456,9034.0,210.09302,0.0,654.0,3101.0,46.0,754.0,808.0,108.0,683.0,132.0,199.0,276.0,46.0,88.0,46.0,0.026106697,0.049943246,0.026106697,2.1611621,-323.79907,12.96743,0.8531084,0.8530011,-0.0022857764,2.2137463,0.8515575,6.2137737,2.853,7.780406,0.019362971,6.447648e-05,0.04771491,0.019320166,0.13633873,0.06939985,0.17477696,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,124.0,85.83559,-0.0011437874,8.0
44,17,9.681818182,0,203.1590909,1709,38.84090909,8940,207.9069767,0,654,3070,46,754,771,108,680,132,199,276,45,87,45,0.025714286,0.049714286,0.025714286,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.022727273,0.0,0.113636364,0.045454545,0.159090909,138,389,221,26,24,116,0,124,86,0,8,43.719063,16.869987,9.760892,0.0,209.87349,1709.0,38.840908,8940.0,207.90698,0.0,654.0,3070.0,46.0,754.0,771.0,108.0,680.0,132.0,199.0,276.0,45.0,87.0,45.0,0.025714286,0.049714286,0.025714286,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,1.2137463,-0.14844249,5.2137737,1.8529997,6.780406,-0.002859251,6.447648e-05,0.02599774,-0.0029020559,0.11664175,0.048187733,0.15609008,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,124.0,85.83559,-0.0011437874,8.0
43,17,9.627906977,0,203.2325581,1660,38.60465116,8740,208.0952381,0,652,3002,45,751,744,106,646,129,196,271,45,86,45,0.026533019,0.050707547,0.026533019,3,3,18,1.0,1,0,2,1,6,3,8,0.022727273,0.0,0.045454545,0.022727273,0.136363636,0.068181818,0.181818182,138,389,221,26,24,116,0,124,86,0,8,42.719063,16.869987,9.70698,0.0,209.94696,1660.0,38.604652,8740.0,208.09525,0.0,652.0,3002.0,45.0,751.0,744.0,106.0,646.0,129.0,196.0,271.0,45.0,86.0,45.0,0.026533019,0.05070755,0.026533019,2.1611621,-323.79907,12.96743,0.8531084,0.8530011,-0.0022857764,2.2137463,0.8515575,6.2137737,2.853,7.780406,0.019868022,6.447648e-05,0.048725013,0.019825218,0.13936903,0.070915006,0.17881736,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,124.0,85.83559,-0.0011437874,8.0
42,16,9.714285714,0,204.7142857,1625,38.69047619,8599,209.7317073,0,648,2966,44,744,733,105,638,125,194,266,44,84,44,0.026586103,0.050755287,0.026586103,3,3,18,1.0,2,0,3,2,7,4,9,0.045454545,0.0,0.068181818,0.045454545,0.159090909,0.090909091,0.204545455,138,389,221,26,24,116,0,123,86,0,8,41.719063,15.869987,9.793359,0.0,211.4287,1625.0,38.690475,8599.0,209.7317,0.0,648.0,2966.0,44.0,744.0,733.0,105.0,638.0,125.0,194.0,266.0,44.0,84.0,44.0,0.026586102,0.05075529,0.026586102,2.1611621,-323.79907,12.96743,0.8531084,1.8530011,-0.0022857764,3.2137463,1.8515575,7.2137737,3.853,8.780406,0.042595293,6.447648e-05,0.07145228,0.04255249,0.1620963,0.09364227,0.20154463,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,123.0,85.83559,-0.0011437874,8.0
41,16,9.731707317,0,207.7560976,1595,38.90243902,8519,212.975,0,646,2927,43,763,716,103,638,122,194,261,44,83,44,0.027194067,0.051297899,0.027194067,3,3,18,1.0,2,0,3,2,7,4,9,0.046511628,0.0,0.069767442,0.046511628,0.162790698,0.093023256,0.209302326,138,389,221,26,24,116,0,121,86,0,8,40.719063,15.869987,9.810781,0.0,214.4705,1595.0,38.90244,8519.0,212.975,0.0,646.0,2927.0,43.0,763.0,716.0,103.0,638.0,122.0,194.0,261.0,44.0,83.0,44.0,0.027194068,0.0512979,0.027194068,2.1611621,-323.79907,12.96743,0.8531084,1.8530011,-0.0022857764,3.2137463,1.8515575,7.2137737,3.853,8.780406,0.043652378,6.447648e-05,0.07303791,0.04360957,0.16579609,0.09575644,0.2063015,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,121.0,85.83559,-0.0011437874,8.0
40,16,9.9,0,210.025,1557,38.925,8402,215.4358974,0,639,2906,42,752,710,97,635,119,181,239,43,81,43,0.02735369,0.051526718,0.02735369,3,3,18,1.0,1,0,2,1,6,3,8,0.024390244,0.0,0.048780488,0.024390244,0.146341463,0.073170732,0.195121951,138,389,221,26,24,116,0,121,86,0,8,39.719063,15.869987,9.979074,0.0,216.7394,1557.0,38.925,8402.0,215.4359,0.0,639.0,2906.0,42.0,752.0,710.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,2.1611621,-323.79907,12.96743,0.8531084,0.8530011,-0.0022857764,2.2137463,0.8515575,6.2137737,2.853,7.780406,0.021530993,6.447648e-05,0.052050956,0.02148819,0.14934686,0.075903915,0.19212113,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,121.0,85.83559,-0.0011437874,8.0
40,16,10.275,0,211.1,1560,39.0,8445,216.5384615,0,642,2920,42,752,738,97,635,119,181,239,43,81,43,0.02735369,0.051526718,0.02735369,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,121,86,0,8,39.719063,15.869987,10.354074,0.0,217.8144,1560.0,39.0,8445.0,216.53847,0.0,642.0,2920.0,42.0,752.0,738.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,2.1611621,-323.79907,12.96743,0.8531084,-0.14699897,-0.0022857764,1.2137463,-0.14844249,5.2137737,1.8529997,6.780406,-0.002859251,6.447648e-05,0.028270466,-0.0029020559,0.12800539,0.052733187,0.17199917,138.0,389.0,220.90227,26.008568,24.0,116.0,0.0,121.0,85.83559,-0.0011437874,8.0
