pslist.nproc_original,pslist.nppid_original,pslist.avg_threads_original,pslist.nprocs64bit_original,pslist.avg_handlers_original,dlllist.ndlls_original,dlllist.avg_dlls_per_proc_original,handles.nhandles_original,handles.avg_handles_per_proc_original,handles.nport_original,handles.nfile_original,handles.nevent_original,handles.ndesktop_original,handles.nkey_original,handles.nthread_original,handles.ndirectory_original,handles.nsemaphore_original,handles.ntimer_original,handles.nsection_original,handles.nmutant_original,ldrmodules.not_in_load_original,ldrmodules.not_in_init_original,ldrmodules.not_in_mem_original,ldrmodules.not_in_load_avg_original,ldrmodules.not_in_init_avg_original,ldrmodules.not_in_mem_avg_original,malfind.ninjections_original,malfind.commitCharge_original,malfind.protection_original,malfind.uniqueInjections_original,psxview.not_in_pslist_original,psxview.not_in_eprocess_pool_original,psxview.not_in_ethread_pool_original,psxview.not_in_pspcid_list_original,psxview.not_in_csrss_handles_original,psxview.not_in_session_original,psxview.not_in_deskthrd_original,psxview.not_in_pslist_false_avg_original,psxview.not_in_eprocess_pool_false_avg_original,psxview.not_in_ethread_pool_false_avg_original,psxview.not_in_pspcid_list_false_avg_original,psxview.not_in_csrss_handles_false_avg_original,psxview.not_in_session_false_avg_original,psxview.not_in_deskthrd_false_avg_original,modules.nmodules_original,svcscan.nservices_original,svcscan.kernel_drivers_original,svcscan.fs_drivers_original,svcscan.process_services_original,svcscan.shared_process_services_original,svcscan.interactive_process_services_original,svcscan.nactive_original,callbacks.ncallbacks_original,callbacks.nanonymous_original,callbacks.ngeneric_original,pslist.nproc_adversarial,pslist.nppid_adversarial,pslist.avg_threads_adversarial,pslist.nprocs64bit_adversarial,pslist.avg_handlers_adversarial,dlllist.ndlls_adversarial,dlllist.avg_dlls_per_proc_adversarial,handles.nhandles_adversarial,handles.avg_handles_per_proc_adversarial,handles.nport_adversarial,handles.nfile_adversarial,handles.nevent_adversarial,handles.ndesktop_adversarial,handles.nkey_adversarial,handles.nthread_adversarial,handles.ndirectory_adversarial,handles.nsemaphore_adversarial,handles.ntimer_adversarial,handles.nsection_adversarial,handles.nmutant_adversarial,ldrmodules.not_in_load_adversarial,ldrmodules.not_in_init_adversarial,ldrmodules.not_in_mem_adversarial,ldrmodules.not_in_load_avg_adversarial,ldrmodules.not_in_init_avg_adversarial,ldrmodules.not_in_mem_avg_adversarial,malfind.ninjections_adversarial,malfind.commitCharge_adversarial,malfind.protection_adversarial,malfind.uniqueInjections_adversarial,psxview.not_in_pslist_adversarial,psxview.not_in_eprocess_pool_adversarial,psxview.not_in_ethread_pool_adversarial,psxview.not_in_pspcid_list_adversarial,psxview.not_in_csrss_handles_adversarial,psxview.not_in_session_adversarial,psxview.not_in_deskthrd_adversarial,psxview.not_in_pslist_false_avg_adversarial,psxview.not_in_eprocess_pool_false_avg_adversarial,psxview.not_in_ethread_pool_false_avg_adversarial,psxview.not_in_pspcid_list_false_avg_adversarial,psxview.not_in_csrss_handles_false_avg_adversarial,psxview.not_in_session_false_avg_adversarial,psxview.not_in_deskthrd_false_avg_adversarial,modules.nmodules_adversarial,svcscan.nservices_adversarial,svcscan.kernel_drivers_adversarial,svcscan.fs_drivers_adversarial,svcscan.process_services_adversarial,svcscan.shared_process_services_adversarial,svcscan.interactive_process_services_adversarial,svcscan.nactive_adversarial,callbacks.ncallbacks_adversarial,callbacks.nanonymous_adversarial,callbacks.ngeneric_adversarial
44,17,10.56818182,0,205.4772727,1724,39.18181818,9041,205.4772727,0,665,3117,47,733,864,109,682,123,185,269,47,90,47,0.026553672,0.050847458,0.026553672,3,3,18,1.0,2,0,2,2,6,4,8,0.043478261,0.0,0.043478261,0.043478261,0.130434783,0.086956522,0.173913043,138,389,221,26,24,116,0,123,86,0,8,43.438126,16.739973,10.726328,0.0,218.90608,1724.0,39.18182,9041.0,205.47728,0.0,665.0,3117.0,47.0,733.0,864.0,109.0,682.0,123.0,185.0,269.0,47.0,90.0,47.0,0.026553672,0.05084746,0.026553672,1.322326,-650.59814,7.93487,0.7062172,1.7060022,-0.0045715524,2.4274926,1.703115,6.427547,3.8823998,7.5608125,0.03775976,0.00012895298,0.050019197,0.037674148,0.13644557,0.09242289,0.1679114,138.0,389.0,220.80453,25.982864,24.0,116.0,0.0,123.0,85.67117,-0.0022875746,8.0
40,16,10.225,0,210.725,1560,39.0,8430,216.1538462,0,639,2916,42,752,735,97,635,119,180,239,43,81,43,0.027371101,0.051559516,0.027371101,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,121,86,0,8,39.438126,15.739974,10.383146,0.0,224.15381,1560.0,39.0,8430.0,216.15384,0.0,639.0,2916.0,42.0,752.0,735.0,97.0,635.0,119.0,180.0,239.0,43.0,81.0,43.0,0.027371101,0.051559515,0.027371101,1.322326,-650.59814,7.93487,0.7062172,-0.29399762,-0.0045715524,1.4274927,-0.29688478,5.427547,1.7060001,6.560813,-0.005718497,0.00012895298,0.03154093,-0.005804109,0.13101079,0.055466365,0.16899835,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,121.0,85.67117,-0.0022875746,8.0
42,16,10.38095238,0,208.6904762,1647,39.21428571,8766,213.804878,0,650,3036,44,703,809,104,658,123,187,267,46,86,46,0.027202839,0.050857481,0.027202839,3,3,18,1.0,1,0,2,1,6,3,8,0.023255814,0.0,0.046511628,0.023255814,0.139534884,0.069767442,0.186046512,138,389,221,26,24,116,0,123,86,0,8,41.438126,15.739974,10.539099,0.0,222.11928,1647.0,39.214287,8766.0,213.80487,0.0,650.0,3036.0,44.0,703.0,809.0,104.0,658.0,123.0,187.0,267.0,46.0,86.0,46.0,0.027202839,0.05085748,0.027202839,1.322326,-650.59814,7.93487,0.7062172,0.7060025,-0.0045715524,2.4274926,0.70311534,6.427547,2.706,7.5608125,0.017537316,0.00012895298,0.053052563,0.01745171,0.14554566,0.0752338,0.18004486,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,123.0,85.67117,-0.0022875746,8.0
44,17,10.0,0,205.2954545,1718,39.04545455,9034,210.0930233,0,654,3101,46,754,808,108,683,132,199,276,46,88,46,0.026106697,0.049943246,0.026106697,3,3,18,1.0,1,0,2,1,6,3,8,0.022222222,0.0,0.044444444,0.022222222,0.133333333,0.066666667,0.177777778,138,389,221,26,24,116,0,124,86,0,8,43.438126,16.739973,10.158147,0.0,218.72426,1718.0,39.045456,9034.0,210.09302,0.0,654.0,3101.0,46.0,754.0,808.0,108.0,683.0,132.0,199.0,276.0,46.0,88.0,46.0,0.026106697,0.049943246,0.026106697,1.322326,-650.59814,7.93487,0.7062172,0.7060025,-0.0045715524,2.4274926,0.70311534,6.427547,2.706,7.5608125,0.016503725,0.00012895298,0.05098538,0.016418116,0.13934411,0.07213303,0.17177613,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,124.0,85.67117,-0.0022875746,8.0
44,17,9.681818182,0,203.1590909,1709,38.84090909,8940,207.9069767,0,654,3070,46,754,771,108,680,132,199,276,45,87,45,0.025714286,0.049714286,0.025714286,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.022727273,0.0,0.113636364,0.045454545,0.159090909,138,389,221,26,24,116,0,124,86,0,8,43.438126,16.739973,9.839965,0.0,216.58789,1709.0,38.840908,8940.0,207.90698,0.0,654.0,3070.0,46.0,754.0,771.0,108.0,680.0,132.0,199.0,276.0,45.0,87.0,45.0,0.025714286,0.049714286,0.025714286,1.322326,-650.59814,7.93487,0.7062172,-0.29399762,-0.0045715524,1.4274927,-0.29688478,5.427547,1.7060001,6.560813,-0.005718497,0.00012895298,0.029268201,-0.005804109,0.119647145,0.050920907,0.15308927,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,124.0,85.67117,-0.0022875746,8.0
43,17,9.627906977,0,203.2325581,1660,38.60465116,8740,208.0952381,0,652,3002,45,751,744,106,646,129,196,271,45,86,45,0.026533019,0.050707547,0.026533019,3,3,18,1.0,1,0,2,1,6,3,8,0.022727273,0.0,0.045454545,0.022727273,0.136363636,0.068181818,0.181818182,138,389,221,26,24,116,0,124,86,0,8,42.438126,16.739973,9.786054,0.0,216.66136,1660.0,38.604652,8740.0,208.09525,0.0,652.0,3002.0,45.0,751.0,744.0,106.0,646.0,129.0,196.0,271.0,45.0,86.0,45.0,0.026533019,0.05070755,0.026533019,1.322326,-650.59814,7.93487,0.7062172,0.7060025,-0.0045715524,2.4274926,0.70311534,6.427547,2.706,7.5608125,0.017008776,0.00012895298,0.051995482,0.016923167,0.14237443,0.07364818,0.17581654,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,124.0,85.67117,-0.0022875746,8.0
42,16,9.714285714,0,204.7142857,1625,38.69047619,8599,209.7317073,0,648,2966,44,744,733,105,638,125,194,266,44,84,44,0.026586103,0.050755287,0.026586103,3,3,18,1.0,2,0,3,2,7,4,9,0.045454545,0.0,0.068181818,0.045454545,0.159090909,0.090909091,0.204545455,138,389,221,26,24,116,0,123,86,0,8,41.438126,15.739974,9.872432,0.0,218.14308,1625.0,38.690475,8599.0,209.7317,0.0,648.0,2966.0,44.0,744.0,733.0,105.0,638.0,125.0,194.0,266.0,44.0,84.0,44.0,0.026586102,0.05075529,0.026586102,1.322326,-650.59814,7.93487,0.7062172,1.7060022,-0.0045715524,3.4274929,1.703115,7.427547,3.7059996,8.560812,0.039736044,0.00012895298,0.07472275,0.039650433,0.16510169,0.09637546,0.1985438,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,123.0,85.67117,-0.0022875746,8.0
41,16,9.731707317,0,207.7560976,1595,38.90243902,8519,212.975,0,646,2927,43,763,716,103,638,122,194,261,44,83,44,0.027194067,0.051297899,0.027194067,3,3,18,1.0,2,0,3,2,7,4,9,0.046511628,0.0,0.069767442,0.046511628,0.162790698,0.093023256,0.209302326,138,389,221,26,24,116,0,121,86,0,8,40.438126,15.739974,9.8898535,0.0,221.1849,1595.0,38.90244,8519.0,212.975,0.0,646.0,2927.0,43.0,763.0,716.0,103.0,638.0,122.0,194.0,261.0,44.0,83.0,44.0,0.027194068,0.0512979,0.027194068,1.322326,-650.59814,7.93487,0.7062172,1.7060022,-0.0045715524,3.4274929,1.703115,7.427547,3.7059996,8.560812,0.04079313,0.00012895298,0.07630837,0.040707517,0.16880147,0.09848963,0.20330068,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,121.0,85.67117,-0.0022875746,8.0
40,16,9.9,0,210.025,1557,38.925,8402,215.4358974,0,639,2906,42,752,710,97,635,119,181,239,43,81,43,0.02735369,0.051526718,0.02735369,3,3,18,1.0,1,0,2,1,6,3,8,0.024390244,0.0,0.048780488,0.024390244,0.146341463,0.073170732,0.195121951,138,389,221,26,24,116,0,121,86,0,8,39.438126,15.739974,10.058146,0.0,223.45381,1557.0,38.925,8402.0,215.4359,0.0,639.0,2906.0,42.0,752.0,710.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,1.322326,-650.59814,7.93487,0.7062172,0.7060025,-0.0045715524,2.4274926,0.70311534,6.427547,2.706,7.5608125,0.018671747,0.00012895298,0.05532142,0.018586136,0.15235224,0.0786371,0.18912031,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,121.0,85.67117,-0.0022875746,8.0
40,16,10.275,0,211.1,1560,39.0,8445,216.5384615,0,642,2920,42,752,738,97,635,119,181,239,43,81,43,0.02735369,0.051526718,0.02735369,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,121,86,0,8,39.438126,15.739974,10.433146,0.0,224.52881,1560.0,39.0,8445.0,216.53847,0.0,642.0,2920.0,42.0,752.0,738.0,97.0,635.0,119.0,181.0,239.0,43.0,81.0,43.0,0.02735369,0.051526718,0.02735369,1.322326,-650.59814,7.93487,0.7062172,-0.29399762,-0.0045715524,1.4274927,-0.29688478,5.427547,1.7060001,6.560813,-0.005718497,0.00012895298,0.03154093,-0.005804109,0.13101079,0.055466365,0.16899835,138.0,389.0,220.80453,26.017136,24.0,116.0,0.0,121.0,85.67117,-0.0022875746,8.0
