Feature,Mean_SHAP_Original,Mean_SHAP_Adversarial
handles.nsemaphore,1.0463700000000002,1.0556750000000004
dlllist.avg_dlls_per_proc,1.0067399999999997,1.0777500000000004
svcscan.process_services,0.9966300000000001,0.9165000000000001
handles.ndirectory,0.9531600000000008,0.8033625
psxview.not_in_deskthrd_false_avg,0.7099799999999997,0.7353249999999996
handles.ndesktop,0.6278699999999998,0.587775
ldrmodules.not_in_load,0.62769,0.45765
psxview.not_in_csrss_handles_false_avg,0.6121799999999997,0.5636375
psxview.not_in_session_false_avg,0.6119400000000003,0.5768624999999997
psxview.not_in_ethread_pool_false_avg,0.5864699999999999,0.4323000000000002
ldrmodules.not_in_mem,0.5656699999999999,0.39254999999999995
pslist.avg_threads,0.5647199999999999,0.45422500000000016
svcscan.nservices,0.5474399999999999,0.5438749999999999
dlllist.ndlls,0.53234,0.5551625000000001
handles.nevent,0.50588,0.4997874999999999
handles.ntimer,0.46914000000000017,0.4584375000000003
ldrmodules.not_in_init,0.44212999999999986,0.40806250000000005
handles.nmutant,0.4375400000000001,0.48512500000000003
pslist.nproc,0.4337099999999999,0.306825
pslist.nppid,0.42817,0.332975
handles.nthread,0.40459999999999985,0.48056250000000006
handles.nkey,0.37308,0.4616875000000001
handles.nsection,0.3534600000000001,0.3927374999999999
svcscan.nactive,0.2602600000000001,0.31245000000000006
psxview.not_in_session,0.23972000000000002,0.309
svcscan.shared_process_services,0.22231,0.22675
psxview.not_in_pspcid_list,0.20678000000000002,0.24587499999999995
psxview.not_in_deskthrd,0.19449000000000005,0.19090000000000004
psxview.not_in_pslist_false_avg,0.18785000000000004,0.21005
psxview.not_in_pslist,0.18580999999999992,0.20190000000000005
modules.nmodules,0.18348999999999993,0.1959125
handles.nhandles,0.17367000000000005,0.11220000000000002
malfind.commitCharge,0.17336000000000007,0.32889999999999986
psxview.not_in_csrss_handles,0.16873000000000002,0.11631250000000001
psxview.not_in_pspcid_list_false_avg,0.15422999999999992,0.20336250000000014
ldrmodules.not_in_mem_avg,0.15127999999999997,0.12712499999999996
malfind.protection,0.14527999999999994,0.20903750000000007
handles.avg_handles_per_proc,0.1409599999999999,0.09602499999999994
callbacks.ncallbacks,0.13944000000000004,0.15585000000000002
psxview.not_in_ethread_pool,0.13574999999999995,0.10462499999999998
svcscan.kernel_drivers,0.13517999999999997,0.13341250000000004
malfind.ninjections,0.12637,0.17681249999999996
pslist.avg_handlers,0.11916999999999996,0.0993625
malfind.uniqueInjections,0.11359999999999998,0.24727499999999997
ldrmodules.not_in_init_avg,0.11303999999999997,0.09072499999999996
ldrmodules.not_in_load_avg,0.10562000000000003,0.11328749999999997
handles.nfile,0.07778000000000002,0.05864999999999999
psxview.not_in_eprocess_pool_false_avg,0.024339999999999994,0.054524999999999976
psxview.not_in_eprocess_pool,0.013879999999999986,0.057325
svcscan.fs_drivers,0.0,0.051674999999999985
handles.nport,0.0,0.0
svcscan.interactive_process_services,0.0,0.0
pslist.nprocs64bit,0.0,0.0
callbacks.nanonymous,0.0,0.012175000000000002
callbacks.ngeneric,0.0,0.0
