Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Trojan-Emotet-0bb3b6687ae34cfdb80a8242f8f8594ded947c4f8bccd6fd643f2721769c38f1-10.raw,37.561874,13.739974,10.13112,0.0,223.0234,1478.9678,39.651,8334.135,227.3664,0.0,189.60104,2810.562,39.47498,640.0579,655.789,96.000046,533.4894,114.49097,180.13261,246.31287,43.874302,80.14554,43.874153,0.02734622,0.05342376,0.027345927,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,-0.00012895299,0.0065409346,-0.0058041126,0.11411889,0.059520423,0.15616052,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,117.2814,87.67117,0.0022875748,8.0
Trojan-Reconyc-64c1aa3a3c8328e2088a0-2.raw,42.561874,15.739974,10.46767,0.0,220.45262,1639.9678,38.831825,9274.135,224.79561,0.0,241.60104,3112.562,44.47498,671.0579,826.789,106.000046,632.4894,121.49097,194.13261,271.31287,51.874302,93.14554,51.874153,0.029294668,0.055920843,0.029294377,1.3223245,656.5981,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.060948167,0.00012895298,0.0732076,0.060862556,0.16156633,0.116577476,0.19399835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Trojan-Refroso-3ca496999ffc40cd796459917fb9c0c9-9.raw,40.561874,15.739974,9.733147,0.0,216.95381,1533.9678,38.09492,8720.135,221.2968,0.0,224.60098,2955.562,42.47498,677.0579,700.789,99.000046,595.4894,114.49097,176.13261,240.31287,45.874302,85.14554,45.874153,0.028125178,0.055718493,0.028124887,1.3223245,656.5981,7.934862,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.018671742,0.00012895298,0.030931178,0.018586133,0.12796201,0.0786371,0.16473006,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Ransomware-Shade-037efa15acabd403e8b58ec153428fe8ae020350d7bf365dd3f6399039937bee-1.raw,41.561874,14.739974,11.4508295,0.0,229.20929,1644.9678,39.886993,8268.865,238.9718,0.0,226.60104,3165.562,42.47498,662.0579,896.789,103.000046,638.4894,124.49097,202.13261,272.31287,49.874306,89.14554,49.874153,0.028051974,0.053442013,0.028051682,3.322324,659.5981,19.934862,0.95621693,0.70600224,-0.0045715524,2.4274926,1.296885,6.427547,2.7059999,7.5608125,0.018091023,0.00012895298,0.054159984,0.018005412,0.14886792,0.07689494,0.18447454,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,86.67117,0.0022875748,8.0
Trojan-Emotet-0e849a92eeec9329959842a0cd52565b4bafd2d9b37f72c1e48461ea8c6fe875-9.raw,37.561874,14.739974,10.374363,0.0,229.26665,1479.9678,39.67803,8565.135,233.60963,0.0,206.60104,2906.562,39.47498,683.9421,695.789,93.000046,586.4894,114.49097,178.13261,237.31287,44.874302,81.14554,44.874153,0.028573673,0.05511583,0.02857338,1.3223245,-650.59814,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.11411889,0.059520423,0.15616052,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,0.0022875748,8.0
Ransomware-Conti-0c9bc27b30655bc5ab0fa489b91bdb6cf7a34f21a9431f546537a69179a4435a-8.raw,37.561874,14.739974,10.320309,0.0,228.4288,1478.9678,39.651,8534.135,232.7718,0.0,209.60104,2889.562,39.47498,681.9421,686.789,93.000046,586.4894,114.49097,175.13261,237.31287,44.874302,81.14554,44.874153,0.028553486,0.05507874,0.028553195,1.3223245,-650.59814,7.934862,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.020597288,0.00012895298,0.032856725,0.020511677,0.13758974,0.08441374,0.17820887,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Ransomware-Shade-8d0d762df837471fce7008accf4e4a5de8b4232cf1aab7e1b3720b25f0801e66-7.raw,32.561874,12.739974,10.845647,0.0,204.6788,1239.9678,38.28867,6699.135,209.0218,0.0,141.60098,2066.562,32.47498,433.05795,571.789,82.000046,417.4894,93.49097,104.13261,189.31287,41.874302,73.14554,41.874153,0.03120416,0.057951495,0.031203868,0.32232407,655.598,1.9348619,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,4.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.13101079,0.067966364,0.15024835,136.98082,378.44562,219.19547,25.982864,21.152489,110.15216,0.0,114.2814,87.67117,0.0022875748,8.0
Spyware-180solutions-1a462bd5080d88c0917c79c71a7934a0085697b2bbc446b666bf8e78bf0c643a-4.raw,41.561874,15.739974,10.036196,0.0,222.50198,1645.9678,39.911385,9151.135,226.84497,0.0,229.60104,3073.562,43.47498,689.9421,753.789,104.000046,632.4894,127.49097,196.13261,274.31287,47.874302,88.14554,47.874153,0.02687921,0.05290152,0.026878918,1.3223245,-650.59814,7.934862,0.706217,4.706002,-0.0045715524,5.4274926,5.296885,9.427547,6.706,10.560812,0.10297716,0.00012895298,0.11523659,0.10289154,0.20166296,0.15764028,0.23312879,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,86.67117,0.0022875748,8.0
Trojan-Reconyc-32639800869e6f989efdf7afedbfdfd7-10.raw,42.561874,16.739973,9.205766,0.0,209.38118,1582.9678,37.47468,8809.135,213.72418,0.0,242.60098,2970.562,44.47498,693.0579,689.789,103.000046,594.4894,114.49097,183.13261,242.31287,50.874302,92.14554,50.874153,0.030351432,0.05836711,0.03035114,2.322324,657.5981,13.93486,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10124888,0.053085417,0.1368555,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,0.0022875748,8.0
Spyware-180solutions-0c5d2f4b68ec5e44a0e33a8a4f9ed7c985a373c8884a4dba24f8b2b0f7faa22b-3.raw,44.561874,16.739973,9.658147,0.0,213.11063,1702.9678,38.524464,9365.135,217.45361,0.0,251.60098,3137.562,46.47498,687.0579,778.789,110.000046,641.4894,127.49097,202.13261,277.31287,48.874302,92.14554,48.874153,0.026490709,0.053416707,0.026490416,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09691987,0.050920915,0.13036199,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
