label,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Shade,41.561874,15.739974,9.987414,0.0,221.77026,1638.9678,39.74065,9121.135,226.11327,0.0,221.60104,3065.562,43.47498,665.0348,749.789,104.000046,632.4894,127.49097,196.1326,274.31287,46.874302,87.14554,46.874153,0.026407257,0.05254682,0.026406966,1.322326,-650.59814,7.93487,0.7062172,3.7060025,-0.0045715524,4.4274926,4.296885,8.4275465,5.706,9.560813,0.08317039,0.00010316238,0.095429815,0.083084784,0.18378855,0.1387997,0.21622057,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Pysa,22.561876,7.7399735,13.703601,0.0,246.4288,896.0322,42.79719,4546.8657,215.2282,0.0,54.60098,1708.2247,23.52502,327.05795,507.78894,62.000046,362.4894,86.49097,87.13259,177.31285,22.874302,44.145535,22.874151,0.023027124,0.045226265,0.023027414,-0.6776745,-652.598,-4.06513,0.7062172,-0.29399762,0.004571553,0.42749238,-0.29688478,4.4275465,1.7060001,4.560813,-0.005718497,-0.00012895299,-0.006540929,0.005804108,0.18782896,0.09637546,0.22127108,136.98082,385.44562,220.19547,25.982864,23.152489,114.15216,0.0,113.2814,88.67117,0.9977128,8.0
Scar,41.561874,16.739973,9.49961,0.0,216.52637,1586.9678,38.47236,8906.135,220.86935,0.0,233.60104,2977.562,43.47498,735.0579,697.789,101.000046,612.4894,117.49097,185.1326,246.31287,45.874302,86.14554,45.874153,0.027180564,0.05457477,0.027180273,1.322326,-519.8788,7.93487,0.7062172,-0.29399762,-0.0045715524,0.42749238,0.23750772,4.4275465,1.7060001,5.560813,-0.005718497,0.00012895298,0.006540931,-0.005804109,0.10357175,0.054246854,0.14033982,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Ako,37.561874,14.739974,10.2122,0.0,228.23962,1476.9678,39.596947,8527.134,232.58261,0.0,203.60098,2887.562,39.47498,671.0,683.789,93.000046,584.4894,114.49097,175.1326,237.31287,43.874302,80.14554,43.874153,0.027868556,0.054393813,0.027868263,1.322326,-650.59814,7.93487,0.7062172,5.706002,-0.0045715524,6.4274926,6.2968845,10.4275465,7.706,11.560813,0.13381639,5.158119e-05,0.14607581,0.13373078,0.23856892,0.19151287,0.27306813,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0013725448,8.0
Emotet,41.561874,15.739974,10.353269,0.0,224.13612,1647.9678,39.960163,9218.135,228.47911,0.0,223.60098,3099.562,43.47498,663.0232,791.789,104.000046,635.4894,127.49097,196.1326,274.31287,48.874302,89.14554,48.874153,0.02739764,0.053347237,0.027397348,1.322326,-127.71973,7.93487,0.7062172,2.7060025,-0.0045715524,3.4274929,3.2968848,7.427547,4.706,8.560812,0.06246332,0.00012895298,0.07472275,0.06237771,0.16510169,0.11910273,0.1985438,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Transponder,45.561874,16.739973,9.713702,0.0,217.25102,1753.9678,38.814365,8941.346,226.24907,0.0,454.60104,3123.562,46.47498,728.0579,804.78894,111.000046,666.4894,133.49097,216.1326,295.31287,52.874302,96.14554,52.874153,0.027947586,0.054136574,0.027947294,61.322323,17852.402,367.93488,10.206218,0.7060025,-0.0045715524,2.4274926,1.296885,6.427547,2.706,7.5608125,0.016020633,0.00012895298,0.04740282,0.015935024,0.13644557,0.070683755,0.1679114,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,86.67117,0.0022875748,8.0
Ako,39.561874,14.739974,10.0812235,0.0,224.04419,1553.9678,39.56992,8793.134,228.38719,0.0,220.60098,2963.562,41.47498,647.0464,719.78894,101.000046,590.4894,120.49097,190.1326,260.31287,45.874302,84.14554,45.874153,0.027506854,0.053906534,0.027506564,1.322326,656.5981,7.93487,0.8237303,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.043061987,0.00012895298,0.05532142,0.042976376,0.15235224,0.103027344,0.18912031,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,120.2814,86.67117,0.0022875748,8.0
Scar,42.561874,15.739974,10.46767,0.0,222.11928,1660.9678,39.331825,9344.135,226.46228,0.0,248.60104,3124.562,44.47498,672.0579,833.78894,106.000046,633.4894,124.49097,193.1326,268.31287,51.874302,93.14554,51.874153,0.028916579,0.05523272,0.028916286,2.322324,657.5981,13.934862,0.7062172,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.039736044,0.00012895298,0.051995482,0.039650433,0.14237443,0.09637546,0.17581654,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Transponder,39.438126,15.739974,10.058146,0.0,240.6788,1561.9678,38.794918,9670.135,250.87436,0.0,429.60104,2954.562,41.47498,683.0579,739.789,98.000046,614.4894,120.49097,716.8674,255.31285,44.874302,83.14554,44.874153,0.026843367,0.05322722,0.026843075,42.322327,979.4019,253.93486,8.506217,15.706002,0.99542844,16.427492,16.296886,21.427546,17.706,22.560812,0.27999577,0.017986095,0.27917337,0.27991018,0.38101077,0.32689494,0.40471265,137.98082,389.44562,220.80453,26.017136,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Refroso,41.561874,16.739973,10.426439,0.0,224.35564,1655.9678,39.471382,9227.135,228.69862,0.0,227.60098,2987.8877,43.47498,682.9421,809.789,104.40002,636.4894,127.49097,192.1326,273.31287,51.874302,92.14554,51.874153,0.029005738,0.054796904,0.029005446,5.3223243,552.8785,31.93486,1.4562169,1.9412005,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,8.560812,0.04079313,0.00012895298,0.046511628,0.040707517,0.14554566,0.09848963,0.20330068,137.98082,389.44562,221.0391,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
