chunk,accuracy
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,0.98
39,0.02
40,0.048
41,0.01
42,0.01
43,0.0
44,0.032
45,0.064
46,0.072
47,0.004
48,0.01
49,0.0
50,0.012
51,0.012
52,0.018
53,0.018
54,0.008
55,0.036
56,0.038
57,0.0
58,0.002
59,0.508
60,0.196
61,0.21
62,0.14
63,0.308
64,0.078
65,0.032
66,0.034
67,0.036
68,0.04
69,0.144
70,0.118
71,0.052
72,0.0
73,0.006
74,0.002
75,0.024
76,0.008746355685131196
