model,defence,data_type,accuracy,f1_score
rf,none,clean,0.9489733900589277,0.9489626972580562
rf,feature_smoothing,clean_smoothed,0.8370636577438364,0.8386773681420097
nn,none,clean,0.5207832360013741,0.4059375433845869
nn,feature_smoothing,clean_smoothed,0.5207832360013741,0.4059233646573311
nn_adv,none,clean,0.08474486695029464,0.0867364721206252
nn_adv,feature_smoothing,clean_smoothed,0.0846920170176783,0.08662790074951429
ensemble,none,clean,0.8888037417752293,0.8893236429685787
ensemble,feature_smoothing,clean_smoothed,0.5570911397087969,0.46217609831509104
rf,none,fgsm,0.213,0.20911139109018706
rf,feature_smoothing,fgsm_smoothed,0.163,0.1459436530809358
nn,none,fgsm,0.044,0.02315271201578751
nn,feature_smoothing,fgsm_smoothed,0.044,0.02315271201578751
nn_adv,none,fgsm,0.077,0.045174847898379965
nn_adv,feature_smoothing,fgsm_smoothed,0.077,0.045174847898379965
ensemble,none,fgsm,0.051,0.031322400213989625
ensemble,feature_smoothing,fgsm_smoothed,0.049,0.02968360138953387
rf,none,pgd,0.1944,0.19020132274382395
rf,feature_smoothing,pgd_smoothed,0.1592,0.14883681110744074
nn,none,pgd,0.0426,0.02453536333537107
nn,feature_smoothing,pgd_smoothed,0.0426,0.024532202279578433
nn_adv,none,pgd,0.0774,0.03694792868449571
nn_adv,feature_smoothing,pgd_smoothed,0.0774,0.036945063099810466
ensemble,none,pgd,0.0474,0.0309119387003111
ensemble,feature_smoothing,pgd_smoothed,0.0452,0.027992837533003103
