model,defence,data_type,accuracy,f1_score
rf,none,clean,0.6886922546541026,0.6884284864109794
rf,feature_smoothing,clean_smoothed,0.6547345437830384,0.6571477045028641
nn,none,clean,0.5090209147322454,0.35418003284925426
nn,feature_smoothing,clean_smoothed,0.5090209147322454,0.35418003284925426
nn_adv,none,clean,0.07107561480119513,0.07958677402320753
nn_adv,feature_smoothing,clean_smoothed,0.07096069868995633,0.07938721276316825
ensemble,none,clean,0.5171799586301999,0.3701749702370806
ensemble,feature_smoothing,clean_smoothed,0.5090783727878648,0.354290563761826
rf,none,fgsm,0.213,0.20911139109018706
rf,feature_smoothing,fgsm_smoothed,0.164,0.1493255294654158
nn,none,fgsm,0.006,0.009415979151154132
nn,feature_smoothing,fgsm_smoothed,0.006,0.009415979151154132
nn_adv,none,fgsm,0.077,0.045174847898379965
nn_adv,feature_smoothing,fgsm_smoothed,0.077,0.045174847898379965
ensemble,none,fgsm,0.006,0.009437412045319022
ensemble,feature_smoothing,fgsm_smoothed,0.006,0.009415979151154132
rf,none,pgd,0.1944,0.19020132274382395
rf,feature_smoothing,pgd_smoothed,0.161,0.15342965764467886
nn,none,pgd,0.0048,0.007343170049459317
nn,feature_smoothing,pgd_smoothed,0.0048,0.007343170049459317
nn_adv,none,pgd,0.0774,0.03694792868449571
nn_adv,feature_smoothing,pgd_smoothed,0.0774,0.03694792868449571
ensemble,none,pgd,0.0054,0.008458294268387722
ensemble,feature_smoothing,pgd_smoothed,0.006,0.009665290618815622
